Jurisdiction,MN,SigDiff,SigSymbol,AB,AP
Massachusetts,247,10,up,91,49
Kansas,246,9,up,88,47
Minnesota,246,9,up,88,47
New Hampshire,246,9,up,89,47
New Jersey,244,7,up,86,45
Vermont,244,6,up,87,44
Wyoming,243,6,up,87,43
North Dakota,243,6,up,89,40
Connecticut,242,5,up,84,42
Ohio,242,5,up,84,43
Texas,242,5,up,87,40
Washington,242,5,up,84,42
Idaho,242,5,up,86,40
South Dakota,242,4,up,86,41
North Carolina,241,4,up,83,40
Maine,241,4,up,84,39
Montana,241,3,up,85,38
Pennsylvania,241,3,up,82,41
Wisconsin,241,3,up,84,40
Virginia,240,3,up,83,39
Indiana,240,3,up,84,38
Iowa,240,3,up,85,37
Delaware,240,3,up,84,36
Colorado,239,2,same,81,39
Florida,239,2,up,82,37
Utah,239,2,up,83,37
DoDEA,239,2,up,85,35
Maryland,238,1,same,79,38
Oregon,238,1,same,80,37
South Carolina,238,1,same,81,36
New York,238,1,same,81,36
Nebraska,238,1,same,80,36
Michigan,238,1,same,79,38
National public,237,†,,79,35
Arkansas,236,-2,same,78,34
Alaska,236,-2,same,77,34
Missouri,235,-2,down,79,31
Oklahoma,234,-3,down,79,29
Georgia,234,-3,down,76,30
Rhode Island,233,-4,down,76,31
Illinois,233,-4,down,74,32
Tennessee,232,-5,down,74,28
Kentucky,231,-6,down,75,26
West Virginia,231,-6,down,75,25
California,230,-7,down,71,28
Louisiana,230,-7,down,74,24
Hawaii,230,-7,down,73,27
Nevada,230,-7,down,72,26
Arizona,230,-7,down,70,28
Mississippi,227,-10,down,69,19
Alabama,225,-12,down,66,21
New Mexico,224,-13,down,65,19
District of Columbia,211,-26,down,45,10
Puerto Rico,‡,†,,‡,‡
