Jurisdiction,MN,SigDiff,SigSymbol,AB,AP
New Hampshire,243,9,up,87,43
North Carolina,242,8,up,85,41
Vermont,242,8,up,85,42
Minnesota,242,8,up,84,42
Kansas,242,8,up,85,41
Massachusetts,242,8,up,84,41
Wyoming,241,7,up,87,39
Connecticut,241,7,up,82,41
Virginia,239,5,up,83,36
New Jersey,239,5,up,80,39
Iowa,238,5,up,83,36
Washington,238,4,up,81,36
Indiana,238,4,up,82,35
Ohio,238,4,up,81,36
Maine,238,4,up,83,34
North Dakota,238,4,up,83,34
Texas,237,3,up,82,33
South Dakota,237,3,up,82,34
DoDEA,237,3,up,84,31
Wisconsin,237,3,up,79,35
Oregon,236,2,up,79,33
Nebraska,236,2,up,80,34
Pennsylvania,236,2,same,78,36
New York,236,2,up,79,33
Delaware,236,2,up,81,31
South Carolina,236,2,same,79,32
Montana,236,2,up,81,31
Michigan,236,2,same,77,34
Colorado,235,1,same,77,34
Idaho,235,1,same,80,31
Missouri,235,1,same,79,30
Utah,235,1,same,79,31
National public,234,†,,76,31
Florida,234,#,same,76,31
Maryland,233,-1,same,73,31
Alaska,233,-1,same,75,30
Illinois,233,-1,same,73,32
West Virginia,231,-3,down,75,24
Rhode Island,230,-4,down,72,28
Georgia,230,-4,down,72,27
Oklahoma,229,-5,down,74,23
Arkansas,229,-5,down,71,26
Arizona,229,-5,down,70,25
Kentucky,229,-5,down,72,22
Tennessee,228,-6,down,70,24
Nevada,228,-6,down,69,23
California,227,-6,down,67,25
Hawaii,227,-7,down,68,23
Louisiana,226,-8,down,67,21
Alabama,223,-11,down,65,19
Mississippi,223,-11,down,62,17
New Mexico,223,-11,down,63,17
District of Columbia,205,-29,down,36,7
Puerto Rico,‡,†,,‡,‡
